Seq,縣市,區別,監測週期,陽性率,總卵粒數
274,67000,67000310,114年第29週,21.32%,2333
275,67000,67000360,114年第29週,25.64%,1015
276,67000,67000350,114年第29週,22.39%,2653
277,67000,67000320,114年第29週,12.78%,1097
278,67000,67000330,114年第29週,23.87%,2340
279,67000,67000010,114年第29週,22.22%,462
280,67000,67000280,114年第29週,28.57%,703
281,67000,67000370,114年第30週,37.08%,2651
282,67000,67000270,114年第30週,53.13%,3431
283,67000,67000340,114年第30週,26.26%,2959
284,67000,67000310,114年第30週,34.11%,4747
285,67000,67000360,114年第30週,42.95%,2423
286,67000,67000350,114年第30週,48.53%,9707
287,67000,67000320,114年第30週,25.93%,3280
288,67000,67000330,114年第30週,35.81%,5305
289,67000,67000010,114年第30週,23.61%,524
290,67000,67000280,114年第30週,26.19%,633
291,67000,67000370,114年第31週,40.00%,3123
292,67000,67000270,114年第31週,55.73%,3507
293,67000,67000340,114年第31週,32.83%,3690
294,67000,67000310,114年第31週,31.98%,4908
295,67000,67000360,114年第31週,46.15%,2426
296,67000,67000350,114年第31週,46.73%,8485
297,67000,67000320,114年第31週,22.59%,2493
298,67000,67000330,114年第31週,39.64%,5726
299,67000,67000010,114年第31週,22.22%,524
300,67000,67000280,114年第31週,30.95%,848
301,67000,67000370,114年第32週,23.33%,1453
302,67000,67000270,114年第32週,41.67%,1832
303,67000,67000340,114年第32週,16.67%,1551
304,67000,67000310,114年第32週,21.71%,2457
305,67000,67000360,114年第32週,32.05%,1103
306,67000,67000350,114年第32週,29.41%,3861
307,67000,67000320,114年第32週,16.67%,1688
308,67000,67000330,114年第32週,25.00%,3011
309,67000,67000010,114年第32週,20.83%,476
310,67000,67000280,114年第32週,29.76%,685
311,67000,67000370,114年第33週,47.08%,3903
312,67000,67000270,114年第33週,55.73%,3885
313,67000,67000340,114年第33週,40.91%,6092
314,67000,67000310,114年第33週,36.82%,5451
315,67000,67000360,114年第33週,51.92%,3111
316,67000,67000350,114年第33週,51.31%,10100
317,67000,67000320,114年第33週,34.26%,5176
318,67000,67000330,114年第33週,43.69%,5576
319,67000,67000010,114年第33週,25.00%,594
320,67000,67000280,114年第33週,29.76%,912
321,67000,67000370,114年第34週,37.92%,2316
322,67000,67000270,114年第34週,39.06%,2316
323,67000,67000340,114年第34週,28.54%,3213
324,67000,67000310,114年第34週,26.55%,3347
325,67000,67000360,114年第34週,37.18%,1949
326,67000,67000350,114年第34週,41.34%,6632
327,67000,67000320,114年第34週,27.22%,4006
328,67000,67000330,114年第34週,31.08%,3447
329,67000,67000010,114年第34週,26.39%,570
330,67000,67000280,114年第34週,28.57%,556
331,67000,67000370,114年第35週,42.50%,3502
332,67000,67000270,114年第35週,36.98%,1834
333,67000,67000340,114年第35週,27.02%,2730
334,67000,67000310,114年第35週,27.52%,3605
335,67000,67000360,114年第35週,41.67%,2219
336,67000,67000350,114年第35週,40.03%,6864
337,67000,67000320,114年第35週,29.07%,3953
338,67000,67000330,114年第35週,31.76%,4166
339,67000,67000010,114年第35週,23.61%,549
340,67000,67000280,114年第35週,27.38%,625
341,67000,67000370,114年第36週,38.33%,2799
342,67000,67000270,114年第36週,45.31%,2985
343,67000,67000340,114年第36週,27.27%,2837
344,67000,67000310,114年第36週,29.46%,3871
345,67000,67000360,114年第36週,37.18%,1457
346,67000,67000350,114年第36週,39.05%,7013
347,67000,67000320,114年第36週,30.00%,4500
348,67000,67000330,114年第36週,34.01%,3685
349,67000,67000010,114年第36週,22.22%,451
350,67000,67000280,114年第36週,28.57%,681
351,67000,67000370,114年第37週,32.50%,2340
352,67000,67000270,114年第37週,36.98%,2377
353,67000,67000340,114年第37週,24.24%,2692
354,67000,67000310,114年第37週,25.00%,2980
355,67000,67000360,114年第37週,35.90%,1629
356,67000,67000350,114年第37週,34.64%,6142
357,67000,67000320,114年第37週,24.26%,3430
358,67000,67000330,114年第37週,29.95%,3151
359,67000,67000010,114年第37週,23.61%,494
360,67000,67000280,114年第37週,27.38%,725
361,67000,67000370,114年第38週,26.67%,1441
362,67000,67000270,114年第38週,32.29%,1489
363,67000,67000340,114年第38週,21.72%,2434
364,67000,67000310,114年第38週,19.77%,2383
365,67000,67000360,114年第38週,25.64%,1152
366,67000,67000350,114年第38週,27.29%,3789
367,67000,67000320,114年第38週,14.63%,1728
368,67000,67000330,114年第38週,27.03%,2882
369,67000,67000010,114年第38週,22.22%,498
370,67000,67000280,114年第38週,27.38%,632
371,67000,67000370,114年第39週,25.42%,1429
372,67000,67000270,114年第39週,31.25%,1499
373,67000,67000340,114年第39週,21.21%,1804
374,67000,67000310,114年第39週,21.12%,2302
375,67000,67000360,114年第39週,25.00%,1121
376,67000,67000350,114年第39週,24.84%,3249
377,67000,67000320,114年第39週,17.78%,1952
378,67000,67000330,114年第39週,26.80%,2554
379,67000,67000010,114年第39週,19.44%,373
380,67000,67000280,114年第39週,22.62%,507
381,67000,67000370,114年第40週,35.83%,2747
382,67000,67000270,114年第40週,39.58%,2382
383,67000,67000340,114年第40週,27.53%,2880
384,67000,67000310,114年第40週,26.94%,3337
385,67000,67000360,114年第40週,36.54%,1504
386,67000,67000350,114年第40週,34.80%,5409
387,67000,67000320,114年第40週,25.19%,3104
388,67000,67000330,114年第40週,30.86%,3903
389,67000,67000010,114年第40週,22.22%,553
390,67000,67000280,114年第40週,27.38%,758
